"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2021","36.700","37.050","37.400","36.700","717.40K","-2.13%"
"05/04/2021","37.500","37.500","37.500","36.600","579.20K","0.00%"
"05/03/2021","37.500","37.300","37.900","37.300","760.50K","0.54%"
"04/30/2021","37.300","37.000","37.750","37.000","1.25M","0.81%"
"04/29/2021","37.000","37.000","37.600","36.800","1.73M","0.00%"
"04/28/2021","37.000","36.550","37.150","36.500","773.90K","1.23%"
"04/27/2021","36.550","36.900","36.900","36.500","948.70K","-0.95%"
"04/26/2021","36.900","37.000","37.000","36.350","649.30K","-0.27%"
"04/23/2021","37.000","37.000","37.400","36.300","1.28M","0.00%"
"04/22/2021","37.000","37.800","37.800","35.800","2.56M","-1.46%"
"04/21/2021","37.550","37.450","37.800","37.200","2.04M","0.27%"
"04/20/2021","37.450","36.500","37.750","36.500","3.69M","3.17%"
"04/19/2021","36.300","36.650","37.050","36.300","1.15M","-0.55%"
"04/16/2021","36.500","36.700","36.700","36.300","2.37M","-0.41%"
"04/15/2021","36.650","37.050","37.100","36.400","1.75M","-0.95%"
"04/14/2021","37.000","37.250","38.050","37.000","1.66M","-0.54%"
"04/13/2021","37.200","37.100","37.350","37.000","2.30M","0.27%"
"04/12/2021","37.100","37.650","38.200","36.800","3.89M","-1.33%"
"04/08/2021","37.600","38.100","38.500","37.600","3.84M","-0.40%"
"04/07/2021","37.750","37.750","38.450","37.650","5.29M","0.27%"
"04/06/2021","37.650","38.900","39.300","37.500","5.50M","-2.71%"
"04/05/2021","38.700","39.200","39.200","38.500","2.81M","-1.53%"
"03/31/2021","39.300","40.400","40.500","39.000","4.74M","-2.72%"
"03/30/2021","40.400","40.200","40.800","40.200","1.16M","1.00%"
"03/29/2021","40.000","40.050","40.850","39.150","2.48M","-0.50%"
"03/26/2021","40.200","41.000","41.100","39.700","3.04M","-1.95%"
"03/25/2021","41.000","41.000","41.400","40.600","5.46M","1.36%"
"03/24/2021","40.450","40.000","40.450","39.100","5.69M","1.13%"
"03/23/2021","40.000","38.900","40.000","38.850","7.18M","3.36%"
"03/22/2021","38.700","36.600","39.500","36.250","3.99M","4.59%"
"03/19/2021","37.000","36.200","37.000","36.200","5.55M","2.21%"
